Time elapsed	Time stamp	Fixed_drain Voltage	Fixed_drain Current	Fixed_drain Resistance	Fixed_ZeroGate Voltage	Fixed_ZeroGate Current	Fixed_ZeroGate Resistance	Loop Index
s		V	A	V/A	V	A	V/A	

3.55747310e-01	2023-07-17T12:15:08.217872	-1.00000000e-01	-2.57990000e-06	3.87611923e+04	1.00000000e+00	1.71980000e-06	5.81462961e+05	1
4.55236663e-01	2023-07-17T12:15:08.317749	-1.00000000e-01	-6.60230000e-07	1.51462369e+05	1.00000000e+00	1.70840000e-06	5.85343011e+05	2
5.17931304e-01	2023-07-17T12:15:08.387727	-1.00000000e-01	-5.07260000e-07	1.97137563e+05	1.00000000e+00	1.44540000e-06	6.91850007e+05	3
5.81460818e-01	2023-07-17T12:15:08.447751	-1.00000000e-01	-3.97850000e-07	2.51351012e+05	1.00000000e+00	1.21020000e-06	8.26309701e+05	4
6.47257412e-01	2023-07-17T12:15:08.517730	-1.00000000e-01	-3.35740000e-07	2.97849526e+05	1.00000000e+00	9.74300000e-07	1.02637791e+06	5
7.29937719e-01	2023-07-17T12:15:08.597765	-1.00000000e-01	-2.94800000e-07	3.39213026e+05	1.00000000e+00	8.45280000e-07	1.18303994e+06	6
8.12647154e-01	2023-07-17T12:15:08.677766	-1.00000000e-01	-2.75470000e-07	3.63015936e+05	1.00000000e+00	7.76580000e-07	1.28769734e+06	7
8.71832868e-01	2023-07-17T12:15:08.737767	-1.00000000e-01	-2.64560000e-07	3.77986090e+05	1.00000000e+00	7.41950000e-07	1.34779972e+06	8
9.37977770e-01	2023-07-17T12:15:08.807766	-1.00000000e-01	-2.55740000e-07	3.91022132e+05	1.00000000e+00	7.31050000e-07	1.36789549e+06	9
9.98236716e-01	2023-07-17T12:15:08.867823	-1.00000000e-01	-2.58680000e-07	3.86578011e+05	1.00000000e+00	7.21550000e-07	1.38590534e+06	10
1.07238286e+00	2023-07-17T12:15:08.937763	-1.00000000e-01	-2.53520000e-07	3.94446198e+05	1.00000000e+00	7.14340000e-07	1.39989361e+06	11
1.14091505e+00	2023-07-17T12:15:09.007775	-1.00000000e-01	-2.50780000e-07	3.98755882e+05	1.00000000e+00	7.14150000e-07	1.40026605e+06	12
1.20299717e+00	2023-07-17T12:15:09.067775	-1.00000000e-01	-2.55860000e-07	3.90838740e+05	1.00000000e+00	7.20210000e-07	1.38848391e+06	13
1.26791746e+00	2023-07-17T12:15:09.137776	-1.00000000e-01	-2.56380000e-07	3.90046025e+05	1.00000000e+00	6.78690000e-07	1.47342675e+06	14
1.32787281e+00	2023-07-17T12:15:09.197772	-1.00000000e-01	-2.43580000e-07	4.10542737e+05	1.00000000e+00	7.03630000e-07	1.42120148e+06	15
1.40055639e+00	2023-07-17T12:15:09.267768	-1.00000000e-01	-2.57550000e-07	3.88274122e+05	1.00000000e+00	7.39850000e-07	1.35162533e+06	16
1.45657820e+00	2023-07-17T12:15:09.317837	-1.00000000e-01	-2.66000000e-07	3.75939850e+05	1.00000000e+00	7.47880000e-07	1.33711291e+06	17
